,molecule_chembl_id,mol,Class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1861,CHEMBL1270526,COCC#Cc1cc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)ccc1F,active,417.387,2.4553,1,5,7.920818754
1862,CHEMBL1270530,Cc1cc([C@]2(c3ccc(F)c(OCC(F)F)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,active,443.372,3.40972,1,5,7.15490196
1863,CHEMBL1270630,Cc1cc([C@]2(c3cccc(C#CC4CC4)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,active,409.436,3.38822,1,4,7.823908741
1864,CHEMBL1270631,Cc1cc([C@]2(c3ccc(F)c(C#CCF)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,active,419.378,3.08682,1,4,7.698970004
1865,CHEMBL1270834,CCCC#Cc1cc([C@@]2(c3ccc(OC(F)F)c(C)c3)N=C(N)N(C)C2=O)ccc1F,active,429.442,3.91742,1,4,7.522878745
1866,CHEMBL1270835,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CCCCF)c2)N=C1N,active,433.405,3.5586,1,4,7.853871964
1867,CHEMBL1270936,CC#Cc1cc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)ccc1F,active,387.361,2.8288,1,4,7.387216143
1876,CHEMBL1645504,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)(Cc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,active,708.777,-0.6446,9,11,6.366531544
1877,CHEMBL1645505,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,active,722.804,-0.2545,9,11,6.397940009
1878,CHEMBL1229518,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nnn[nH]1)C(C)C)C(=O)NC[C@](O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,active,722.804,-0.2545,9,11,6.721246399
1880,CHEMBL1645507,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCC(O)(Cc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,active,748.842,0.2797,9,11,6.167491087
1881,CHEMBL1645508,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)NC[C@](O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,770.848,0.3322,9,11,5
1882,CHEMBL1645509,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)NC[C@@](O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,770.848,0.3322,9,11,5
1883,CHEMBL1645510,CCCC[C@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)N[C@@H](CC(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,736.831,0.2797,9,11,5
1884,CHEMBL1645511,CC(C)C[C@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)N[C@@H](CC(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,736.831,0.1356,9,11,5
1885,CHEMBL1645512,CC(C)C[C@H](NC(=O)C[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,736.831,0.1356,9,11,5
1886,CHEMBL1645513,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,722.804,-0.2545,9,11,5
1887,CHEMBL1645514,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CN)C(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,626.755,0.7611,8,8,5
1888,CHEMBL1645515,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,723.788,-0.2209,9,11,5
1889,CHEMBL1645516,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,inactive,723.788,-0.2209,9,11,5
1890,CHEMBL1645517,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1,active,618.652,-2.2575,9,11,6.356547324
1892,CHEMBL1645519,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CN)C(C)C)C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1,inactive,522.603,-1.2419,8,8,5
1893,CHEMBL1645520,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](N)CO)C(C)C)C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1,inactive,523.587,-1.2083,8,8,5
1894,CHEMBL1645521,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1,inactive,618.652,-2.2575,9,11,5
1895,CHEMBL1645522,CC(C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1,inactive,605.609,-2.614,9,11,5
1896,CHEMBL1645523,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCCC(=O)Nc1cccc(C(=O)O)c1,active,602.653,-1.2283,8,10,6.060480747
1897,CHEMBL1645524,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCCC(=O)Nc1cccc(C(=O)O)c1,inactive,602.653,-1.2283,8,10,5
1898,CHEMBL1645525,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)c1nn[nH]n1)C(C)C)C(=O)NCCC(=O)Nc1cccc(C(=O)O)c1,inactive,603.637,-1.1947,8,10,5
1899,CHEMBL1645527,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)c1nn[nH]n1)C(C)C)C(=O)NCCC(=O)Nc1cccc(C(=O)O)c1,inactive,603.637,-1.1947,8,10,5
1902,CHEMBL1644461,CC(C)[C@H](C[C@H](O)[C@H](COCc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,active,842.072,5.369,5,8,7.522878745
1903,CHEMBL1644462,CC(C)S[C@H](NC(=O)[C@@H](C[C@H](O)[C@@H]1COCc2cccc(c2)C(C)NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(C)C)C(=O)NCc1ccccc1,active,796.025,4.1255,5,9,7.301029996
1904,CHEMBL1644463,CC(C)S[C@H](NC(=O)[C@@H](C[C@H](O)[C@@H]1COCc2cccc(c2)C(c2ccccc2)NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(C)C)C(=O)NCc1ccccc1,active,858.096,5.1539,5,9,6.619788758
1906,CHEMBL1644465,CNC(=O)[C@@H](C[C@H](O)[C@@H]1COCc2cccc(c2)C(c2ccccc2)NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(C)C,inactive,650.798,2.9996,4,7,5
1909,CHEMBL1644468,COCCOC1NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCC(C)C)C(C)C)COCc2cccc1c2,inactive,690.86,2.598,4,9,5
1910,CHEMBL1644469,COCCOC1CCCc2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCC(C)C)C(C)C)COCc2cccc1c2,inactive,689.916,4.2334,3,8,5
1912,CHEMBL56002,NC1=NC(c2ccccc2)(c2ccccc2)C(=O)N1,inactive,251.289,1.3747,2,3,4.698999972
1913,CHEMBL1651460,COc1ccc(C2(c3ccc(F)c(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc1,active,391.406,2.3216,1,6,7.698970004
1920,CHEMBL1762558,COc1cccc2c1C(=O)C(c1ccc(O)cc1)=CC2=O,inactive,280.279,2.8634,1,4,4.986741335
1921,CHEMBL1762688,COc1ccc(-c2cc(OC(C)=O)cc(-c3ccccc3)c2OC(C)=O)cc1,inactive,376.408,4.8798,0,5,4.952725133
1922,CHEMBL1762556,COc1ccc(C2=CC(=O)c3c(OC)cccc3C2=O)cc1,inactive,294.306,3.1664,0,4,4.950394387
1923,CHEMBL1762689,COc1ccc(-c2cc(O)cc(-c3ccccc3)c2OC(C)=O)cc1,inactive,334.371,4.6601,1,4,4.947306058
1924,CHEMBL1762679,O=C1C=C(c2ccccc2)C(=O)C(c2ccccc2)=C1,inactive,260.292,3.3054,0,2,4.94195377
1925,CHEMBL1762686,CC(=O)Oc1cc(-c2ccc(C(F)(F)F)cc2)c(OC(C)=O)cc1-c1ccccc1,inactive,414.379,5.89,0,4,4.91649738
1926,CHEMBL1762554,O=C1C(c2ccccc2)=CC(=O)c2c(O)cccc21,inactive,250.253,2.8548,1,3,4.901010361
1927,CHEMBL1762681,COc1ccc(C2=CC(=O)C=C(c3ccccc3)C2=O)cc1,inactive,290.318,3.314,0,3,4.872571222
1928,CHEMBL1762683,Oc1cc(-c2ccccc2)c(O)cc1-c1ccccc1,inactive,262.308,4.4318,2,2,4.796967113
1929,CHEMBL1762555,O=C1C(c2ccc(O)cc2)=CC(=O)c2c(O)cccc21,inactive,266.252,2.5604,2,4,4.793443956
1930,CHEMBL1762687,CC(=O)Oc1cc(-c2ccccc2)c(OC(C)=O)c(-c2ccccc2)c1,inactive,346.382,4.8712,0,4,4.698752911
1931,CHEMBL1762678,COc1ccc(C2=CC(=O)C(c3ccc(OC)cc3)=CC2=O)cc1,inactive,320.344,3.3226,0,4,4.63339029
1932,CHEMBL1762685,COc1ccc(-c2cc(OC(C)=O)c(-c3ccc(OC)cc3)cc2OC(C)=O)cc1,inactive,406.434,4.8884,0,6,4.621238825
1934,CHEMBL1760732,CC(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cccc(Br)c3)[C@@H]2O)c1,active,466.441,3.6789,2,4,6.119186408
1941,CHEMBL1760855,CC(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(O)c(CCO)c3)[C@@H]2O)c1,active,447.597,2.1568,4,6,6.004364805
1942,CHEMBL1760856,CCCCc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)ccc1O,active,459.652,3.9646,3,5,6.823908741
1943,CHEMBL1760857,CCCc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)ccc1O,active,445.625,3.5745,3,5,6.721246399
1944,CHEMBL1760858,CCc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)ccc1O,active,431.598,3.1844,3,5,6.431798276
1945,CHEMBL1760859,CC(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(O)c(Br)c3)[C@@H]2O)c1,active,482.44,3.3845,3,5,6.522878745
1946,CHEMBL1760860,CNC(=O)Oc1ccc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)cc1Br,active,539.492,3.3971,3,6,7.22184875
1947,CHEMBL1615184,CCCN1C(=O)OC[C@@H]1Cc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)ccc1O,active,544.714,3.3953,3,7,6.823908741
1949,CHEMBL1760862,N[C@H]1CS(=O)(=O)C[C@@H](Cc2ccc(O)c(Br)c2)[C@@H]1O,inactive,350.234,0.43,3,5,4
1950,CHEMBL1760863,O=S1(=O)C[C@@H](Cc2ccc(O)c(Br)c2)[C@H](O)[C@@H](NCc2ccccc2)C1,inactive,440.359,2.2611,3,5,4.180456064
1952,CHEMBL1760865,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(O)c(Br)c3)[C@@H]2O)c1,active,496.467,3.5586,3,5,7.259637311
1955,CHEMBL1760730,CC(C)c1cccc(CN[C@H]2COC[C@@H](Cc3ccc(O)c(Br)c3)[C@@H]2O)c1,inactive,434.374,3.9863,3,4,4.259637311
1956,CHEMBL1614769,O=S1(=O)C[C@@H](Cc2ccc(O)c(Br)c2)[C@H](O)[C@@H](NCc2cccc(C3CC3)c2)C1,active,480.424,3.1385,3,5,6.022276395
1958,CHEMBL1770313,CC(C)=CC1Oc2cc(O)ccc2-c2oc3c4c(cc(O)c3c(=O)c21)OC(C)(C)C=C4,inactive,418.445,5.4551,2,6,3.994819487
1959,CHEMBL1719948,CC(C)(O)CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(C)C=C3,inactive,438.476,4.4645,4,7,3.866780543
1960,CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,inactive,302.238,1.988,5,7,4.910094889
1961,CHEMBL1770315,C/C(=C/Cc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(CO)C=C3)CO,inactive,452.459,3.2145,5,8,3.98505965
1962,CHEMBL1770314,CC1(C)C=Cc2c(cc(O)c3c(=O)c4c(oc23)-c2ccc(O)cc2OC(C(C)(C)O)C4)O1,inactive,436.46,4.1298,3,7,3.835349784
1963,CHEMBL464006,CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(C)C=C3,inactive,420.461,5.2697,3,6,4.226213555
1964,CHEMBL463145,O=c1cc(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,inactive,286.239,2.2824,4,6,4.217527376
1966,CHEMBL1782309,O=C(Nc1ncc(Cc2cccc(Cl)c2Cl)s1)c1ccc(CSc2nnc(-c3ccncc3)n2-c2ccccc2)cc1,inactive,629.598,8.228,1,8,4
1967,CHEMBL1782310,Cc1cc(C)nc(N/C(=N\C(=O)N2c3ccccc3Sc3ccccc32)Nc2cccc([N+](=O)[O-])c2)n1,inactive,511.567,6.30454,2,6,4.543633967
1968,CHEMBL1782311,N#Cc1c(-c2ccc(F)cc2)cc(-c2ccccc2)nc1SCC(=O)NC12CC3CC(CC(C3)C1)C2,inactive,497.639,6.60348,1,4,3.928117993
1969,CHEMBL1504056,CCc1nnc(NC(=O)CSc2nc(-c3ccc(F)cc3)cc(-c3ccccc3)c2C#N)s1,inactive,475.574,5.57108,1,7,4.301029996
1970,CHEMBL1782312,COc1ccc(-c2cc(-c3ccc(Cl)cc3)c(C#N)c(SCC(=O)N(c3ccccc3)c3ccc4ccccc4c3)n2)cc1,inactive,612.154,9.55948,0,5,4.301029996
1971,CHEMBL1782313,Cc1nn(-c2ccccc2)c(Cl)c1C1Nc2ccccc2-c2nnc(SCc3ccccc3)nc2O1,inactive,513.026,6.48152,1,8,4
1973,CHEMBL1782315,O=C(CSc1nnc(Cc2c[nH]c3ccccc23)n1Cc1ccccc1)c1c[nH]c2ccccc12,inactive,477.593,5.8548,2,5,4
1974,CHEMBL1782316,O=S(=O)(c1ccc(Br)cc1)N(c1cnn(Cc2ccc(Cl)c(Cl)c2)c1)S(=O)(=O)c1ccc(Br)cc1,inactive,680.227,6.3474,0,6,4.045757491
1975,CHEMBL1782317,N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1SCC(=O)Nc1cccc([N+](=O)[O-])c1,inactive,466.522,5.92628,1,6,4.698970004
1976,CHEMBL1782318,Cc1ccc(NC(=O)Cc2nnc(SCC(=O)Nc3nc(-c4ccccc4)cs3)n2C)cc1,inactive,478.603,4.15902,2,8,4.677780705
1977,CHEMBL1782319,O=C(CSc1nc2ccc(Nc3nc(N4CCCCC4)nc(N4CCCCC4)n3)cc2s1)Nc1ccccc1F,inactive,578.743,6.0754,2,10,4.991399828
1978,CHEMBL1782320,N#Cc1c(NC(=O)COC(=O)CSc2nc(-c3ccccc3)cc(-c3ccccc3)n2)sc2c1CCCC2,inactive,540.67,5.89658,1,8,4.462180905
1979,CHEMBL1782321,N#Cc1c(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc2sc3c(c2C#N)CCCCCC3)sc2c1CCCCCC2,inactive,666.66,7.98936,2,6,4.913640169
1984,CHEMBL1817733,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@H](C)c1ccccc1,active,752.845,-0.1031,9,9,7.458420756
1985,CHEMBL1817734,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@H](C)c1ccccc1,active,792.91,0.8212,9,9,7.402304814
1986,CHEMBL1817737,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@@H](C)c1ccccc1,active,752.845,-0.1031,9,9,7.690369833
1987,CHEMBL1817738,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@@H](C)c1ccccc1,active,792.91,0.8212,9,9,7.616184634
1988,CHEMBL1817741,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)NC(C)(C)c1ccccc1,active,766.872,0.071,9,9,7.568636236
1989,CHEMBL1817742,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)NC(C)(C)c1ccccc1,active,806.937,0.9953,9,9,7.496209317
1990,CHEMBL1817745,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)NC1(c2ccccc2)CCCC1,active,792.91,0.6052,9,9,7.935542011
1991,CHEMBL1817746,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)NC1(c2ccccc2)CCCC1,active,832.975,1.5295,9,9,7.537602002
1992,CHEMBL1817776,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)NC1(c2ccccc2)CCCCC1,active,806.937,0.9953,9,9,7.605548319
1993,CHEMBL1817777,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)NC1(c2ccccc2)CCCCC1,active,847.002,1.9196,9,9,7.391473966
1994,CHEMBL1819176,Clc1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)-c3ccccc3C4)c3c(nc2c1)CCCC3,active,561.173,9.3609,2,4,6
1995,CHEMBL1819180,c1ccc2c(c1)Cc1c-2nc2ccccc2c1NCCCCCCCNc1c2c(nc3ccccc13)-c1ccccc1C2,active,560.745,9.3999,2,4,6.397940009
1996,CHEMBL1821798,Nc1ccc2cccc(Br)c2n1,inactive,223.073,2.5795,1,2,3.250263684
1997,CHEMBL1821799,Nc1ccc2ccc(Br)cc2n1,inactive,223.073,2.5795,1,2,3.337242168
1998,CHEMBL189197,Nc1ccc2cc(Br)ccc2n1,inactive,223.073,2.5795,1,2,3.4710833
1999,CHEMBL1821800,Nc1ccc2c(Br)cccc2n1,inactive,223.073,2.5795,1,2,3.397940009
2001,CHEMBL1821811,Cc1ccccc1-c1ccc2nc(N)c(CCC(=O)NC3CCCCC3)cc2c1,active,387.527,5.17392,2,3,7.13076828
2002,CHEMBL1821812,Cc1ccccc1-c1ccc2nc(N)c(CCC(=O)NCC3CCCCC3)cc2c1,active,401.554,5.42152,2,3,7.468521083
2003,CHEMBL1821814,Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCC3CCCCC3)cc2c1,active,415.581,5.66752,2,3,8.431798276
2004,CHEMBL1821815,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCC3CCCCC3)cc2c1,active,415.581,5.66752,2,3,8.602059991
2005,CHEMBL1821816,Cc1ccccc1-c1ccc2nc(N)c(C[C@H](C)C(=O)NCC3CCCCC3)cc2c1,active,415.581,5.66752,2,3,6.013228266
2006,CHEMBL1821817,CCC(Cc1cc2cc(-c3ccccc3C)ccc2nc1N)C(=O)NCC1CCCCC1,active,429.608,6.05762,2,3,7.795880017
2007,CHEMBL1821818,Cc1ccccc1-c1ccc2nc(N)c(CC(C(=O)NCC3CCCCC3)C(C)C)cc2c1,active,443.635,6.30362,2,3,7.568636236
2008,CHEMBL1821819,CCCC(Cc1cc2cc(-c3ccccc3C)ccc2nc1N)C(=O)NCC1CCCCC1,active,443.635,6.44772,2,3,7.958607315
2009,CHEMBL1821820,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCCC(C)(C)C)cc2c1,active,403.57,5.52342,2,3,9.187086643
2010,CHEMBL1821821,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCc3ccccc3)cc2c1,active,409.533,5.28742,2,3,7.698970004
2011,CHEMBL1821822,Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCc3cccnc3)cc2c1,active,410.521,4.68242,2,4,7.055517328
2012,CHEMBL1821823,Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCc3cncs3)cc2c1,active,416.55,4.74392,2,5,7.508638306
2013,CHEMBL1821824,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCc3cnccn3)cc2c1,active,411.509,4.07742,2,5,7.301029996
2014,CHEMBL1821825,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCC3CCOCC3)cc2c1,active,417.553,4.51382,2,4,8
2015,CHEMBL1821728,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)N[C@@H]3CCOC(C)(C)C3)cc2c1,active,431.58,5.04482,2,4,9.15490196
2016,CHEMBL1821826,Cc1cccnc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCCC(C)(C)C)cc2c1,active,404.558,4.91842,2,4,7.795880017
2017,CHEMBL1821827,C[C@H](Cc1cc2cc(-c3ncccc3Cl)ccc2nc1N)C(=O)NCCC(C)(C)C,active,424.976,5.2634,2,4,7.958607315
2018,CHEMBL1821828,COc1cccnc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1,active,420.557,4.6186,2,5,7.013228266
2019,CHEMBL1821829,CC(Cc1cc2cc(-c3ncccc3C#N)ccc2nc1N)C(=O)NCCC(C)(C)C,active,415.541,4.48168,2,5,6.408935393
2020,CHEMBL1821830,CC(=O)c1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1,active,431.58,5.4176,2,4,7.823908741
2021,CHEMBL1824133,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2cnn(C)c2)N=C1N,active,347.382,0.9074,1,7,7
2022,CHEMBL1824134,CCn1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,active,361.409,1.3903,1,7,7.096910013
2023,CHEMBL1824135,CCn1cc(C2(c3ccc(F)c(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,active,379.399,1.5294,1,7,7.397940009
2024,CHEMBL1824136,CN1C(=O)C(c2ccc(F)c(-c3cncnc3)c2)(c2cnn(CC(F)(F)F)c2)N=C1N,active,433.369,2.0718,1,7,6.920818754
2025,CHEMBL1824137,CC(C)n1cc(C2(c3ccc(F)c(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,active,393.426,2.0904,1,7,7.096910013
2026,CHEMBL1824138,CC(C)Cn1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,active,389.463,2.0264,1,7,7.522878745
2027,CHEMBL1824139,CC(C)CCn1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,active,403.49,2.4165,1,7,7.522878745
2028,CHEMBL1824140,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2cnn(CCC(C)(C)C)c2)N=C1N,active,417.517,2.8066,1,7,7.698970004
2029,CHEMBL1824141,CCCCn1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,active,389.463,2.1705,1,7,8.096910013
2030,CHEMBL1824142,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2cnn(C3CCCC3)c2)N=C1N,active,401.474,2.4855,1,7,7.15490196
2031,CHEMBL1824143,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2cnn(CCC3CCCCC3)c2)N=C1N,active,443.555,3.3408,1,7,7.698970004
2032,CHEMBL1824144,CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,active,378.411,2.1344,1,6,7.522878745
2033,CHEMBL1824336,CCn1cc(C2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,active,396.401,2.2735,1,6,7.522878745
2034,CHEMBL1824337,CN1C(=O)C(c2cccc(-c3cccnc3F)c2)(c2cnn(CCF)c2)N=C1N,active,396.401,2.084,1,6,7.301029996
2035,CHEMBL1824339,CC(C)n1cc(C2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,active,410.428,2.8345,1,6,7.397940009
2036,CHEMBL1824340,CC(C)Cn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,active,406.465,2.7705,1,6,7.698970004
2037,CHEMBL1824341,CC(C)CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,active,420.492,3.1606,1,6,7.795880017
